Type,Start,End,Size,No. of ORFs,G+C content
1,43902,93977,50076,66,55.28 %
1,820829,884005,63177,62,51.69 %
1,916969,928691,11723,9,50.84 %
1,1059754,1078262,18509,25,34.73 %
1,1289729,1303333,13605,9,43.04 %
1,1977941,2055076,77136,66,52.6 %
1,3140224,3169219,28996,32,51.67 %
1,3182267,3191061,8795,10,46.52 %
1,3205044,3229687,24644,24,45 %
1,4186551,4220983,34433,33,51.72 %
1,4535935,4561675,25741,27,52.46 %
1,4565337,4583108,17772,18,47.21 %
1,4735703,4794239,58537,46,49.53 %
2,1759521,1775152,15632,17,52.26 %
